,Date,CO(GT),C6H6(GT),NO2(GT)
2215,11/06/2004,1.1,7.5,86.0
2216,11/06/2004,0.6,3.5,65.0
2217,11/06/2004,0.5,2.5,
2218,11/06/2004,0.4,2.6,53.0
2219,11/06/2004,0.6,4.0,74.0
2220,11/06/2004,1.0,7.0,69.0
2221,11/06/2004,4.6,24.8,131.0
2222,11/06/2004,4.8,28.9,134.0
2223,11/06/2004,4.0,21.5,148.0
2224,11/06/2004,,12.9,
2225,11/06/2004,2.0,12.2,
2226,11/06/2004,2.0,13.1,111.0
2227,11/06/2004,2.0,13.3,110.0
2228,11/06/2004,1.9,12.5,110.0
2229,11/06/2004,1.9,13.0,116.0
2230,11/06/2004,1.9,12.3,120.0
2231,11/06/2004,2.6,15.2,142.0
2232,11/06/2004,3.2,19.1,146.0
2233,11/06/2004,3.4,19.7,153.0
2234,11/06/2004,3.4,18.6,158.0
2235,11/06/2004,2.9,16.1,140.0
2236,11/06/2004,2.7,15.0,127.0
2237,11/06/2004,1.3,7.3,97.0
2238,12/06/2004,1.3,8.9,91.0
2239,12/06/2004,0.9,6.6,68.0
2240,12/06/2004,0.6,4.3,52.0
2241,12/06/2004,0.5,3.2,
2242,12/06/2004,0.5,4.1,58.0
2243,12/06/2004,0.9,6.0,78.0
2244,12/06/2004,0.7,5.6,61.0
2245,12/06/2004,0.6,4.8,64.0
2246,12/06/2004,1.3,8.9,81.0
2247,12/06/2004,1.9,13.1,92.0
2248,12/06/2004,2.1,14.1,101.0
2249,12/06/2004,1.8,11.2,96.0
2250,12/06/2004,1.8,10.0,101.0
2251,12/06/2004,1.6,9.6,91.0
2252,12/06/2004,1.2,7.2,68.0
2253,12/06/2004,1.2,8.6,76.0
2254,12/06/2004,1.4,9.0,84.0
2255,12/06/2004,1.3,7.9,76.0
2256,12/06/2004,1.1,6.2,61.0
2257,12/06/2004,1.1,6.3,52.0
2258,12/06/2004,1.1,6.3,59.0
2259,12/06/2004,1.8,11.2,89.0
2260,12/06/2004,2.3,12.8,113.0
2261,12/06/2004,2.6,13.2,112.0
2262,13/06/2004,2.0,9.2,89.0
2263,13/06/2004,1.0,5.8,53.0
2264,13/06/2004,0.6,3.4,36.0
2265,13/06/2004,0.6,4.1,
2266,13/06/2004,0.5,3.1,39.0
2267,13/06/2004,0.4,2.2,33.0
2268,13/06/2004,0.4,1.5,37.0
2269,13/06/2004,0.4,1.3,36.0
2270,13/06/2004,0.4,1.2,42.0
2271,13/06/2004,0.5,1.7,52.0
2272,13/06/2004,0.6,2.5,60.0
2273,13/06/2004,0.7,2.5,74.0
2274,13/06/2004,0.7,2.7,65.0
2275,13/06/2004,0.6,1.9,52.0
2276,13/06/2004,0.5,1.8,40.0
2277,13/06/2004,0.6,2.4,49.0
2278,13/06/2004,0.8,2.6,56.0
2279,13/06/2004,0.8,3.0,59.0
2280,13/06/2004,1.0,2.9,68.0
2281,13/06/2004,1.0,3.5,72.0
2282,13/06/2004,1.0,3.6,78.0
2283,13/06/2004,0.9,3.6,71.0
2284,13/06/2004,0.7,2.3,54.0
2285,13/06/2004,0.8,2.6,57.0
2286,14/06/2004,0.7,2.0,45.0
2287,14/06/2004,0.5,1.2,30.0
2288,14/06/2004,0.3,0.7,16.0
2289,14/06/2004,0.3,0.5,
2290,14/06/2004,,0.5,18.0
2291,14/06/2004,0.3,0.8,28.0
2292,14/06/2004,0.7,3.5,62.0
2293,14/06/2004,1.5,7.0,92.0
2294,14/06/2004,1.8,8.7,96.0
2295,14/06/2004,1.4,6.3,87.0
2296,14/06/2004,1.5,7.0,84.0
2297,14/06/2004,1.2,5.5,73.0
2298,14/06/2004,1.2,5.3,72.0
2299,14/06/2004,1.3,5.5,68.0
2300,14/06/2004,1.0,3.8,62.0
2301,14/06/2004,1.4,5.4,70.0
2302,14/06/2004,1.6,6.7,83.0
2303,14/06/2004,2.7,12.2,92.0
2304,14/06/2004,2.3,10.2,103.0
2305,14/06/2004,1.5,6.7,82.0
2306,14/06/2004,1.4,5.7,74.0
2307,14/06/2004,1.0,4.1,67.0
2308,14/06/2004,1.1,4.7,74.0
2309,14/06/2004,1.2,5.2,72.0
2310,15/06/2004,1.2,5.1,79.0
2311,15/06/2004,0.7,2.8,43.0
2312,15/06/2004,0.5,1.4,33.0
2313,15/06/2004,0.4,1.0,
2314,15/06/2004,0.4,2.0,38.0
2315,15/06/2004,0.5,3.0,51.0
2316,15/06/2004,1.0,7.5,69.0
2317,15/06/2004,4.4,24.7,116.0
2318,15/06/2004,4.0,24.8,119.0
2319,15/06/2004,2.4,10.9,96.0
2320,15/06/2004,2.1,11.9,109.0
2321,15/06/2004,2.7,16.0,115.0
2322,15/06/2004,2.8,15.7,118.0
2323,15/06/2004,2.3,13.1,118.0
2324,15/06/2004,2.0,12.2,112.0
2325,15/06/2004,2.6,15.8,140.0
2326,15/06/2004,2.7,16.6,137.0
2327,15/06/2004,3.1,18.4,143.0
2328,15/06/2004,3.1,16.7,148.0
2329,15/06/2004,3.6,20.8,158.0
2330,15/06/2004,2.9,15.3,127.0
2331,15/06/2004,2.2,11.5,109.0
2332,15/06/2004,2.0,10.1,101.0
2333,15/06/2004,2.1,10.4,114.0
2334,16/06/2004,1.9,9.4,104.0
2335,16/06/2004,1.4,6.9,81.0
2336,16/06/2004,0.8,4.0,51.0
2337,16/06/2004,0.6,3.0,
2338,16/06/2004,0.6,2.6,40.0
2339,16/06/2004,0.5,2.4,34.0
2340,16/06/2004,1.0,6.8,61.0
2341,16/06/2004,2.7,18.9,95.0
2342,16/06/2004,5.0,30.2,142.0
2343,16/06/2004,3.3,14.9,128.0
2344,16/06/2004,2.4,12.2,115.0
2345,16/06/2004,1.7,8.3,84.0
2346,16/06/2004,1.7,9.0,85.0
2347,16/06/2004,2.4,13.7,110.0
2348,16/06/2004,2.2,14.1,107.0
2349,16/06/2004,2.2,12.0,107.0
2350,16/06/2004,2.3,12.2,113.0
2351,16/06/2004,2.6,13.1,107.0
2352,16/06/2004,2.3,12.6,106.0
2353,16/06/2004,3.3,18.3,125.0
2354,16/06/2004,3.5,17.2,139.0
2355,16/06/2004,2.5,12.9,117.0
2356,16/06/2004,2.5,13.7,107.0
2357,16/06/2004,2.4,13.4,98.0
2358,17/06/2004,2.5,13.5,97.0
2359,17/06/2004,2.1,9.9,95.0
2360,17/06/2004,1.0,4.4,68.0
2361,17/06/2004,0.8,4.3,
2362,17/06/2004,,3.3,51.0
2363,17/06/2004,0.5,3.4,44.0
2364,17/06/2004,1.3,9.3,77.0
2365,17/06/2004,3.6,23.4,100.0
2366,17/06/2004,4.8,27.7,125.0
2367,17/06/2004,3.7,22.1,154.0
2368,17/06/2004,1.9,10.0,125.0
2369,17/06/2004,1.7,8.9,117.0
2370,17/06/2004,1.9,9.8,105.0
2371,17/06/2004,1.8,9.4,103.0
2372,17/06/2004,1.7,9.8,106.0
2373,17/06/2004,1.8,9.5,107.0
2374,17/06/2004,1.7,9.5,102.0
2375,17/06/2004,2.8,15.4,124.0
2376,17/06/2004,3.6,19.4,133.0
2377,17/06/2004,3.3,16.5,125.0
2378,17/06/2004,2.9,14.3,124.0
2379,17/06/2004,1.7,8.2,97.0
2380,17/06/2004,1.7,8.7,94.0
2381,17/06/2004,2.8,15.2,120.0
2382,18/06/2004,1.8,10.6,105.0
2383,18/06/2004,1.0,6.0,81.0
2384,18/06/2004,0.5,3.1,43.0
2385,18/06/2004,0.4,2.5,
2386,18/06/2004,0.3,1.8,32.0
2387,18/06/2004,0.4,2.6,36.0
2388,18/06/2004,0.8,6.5,59.0
2389,18/06/2004,2.2,14.5,92.0
2390,18/06/2004,4.4,28.8,121.0
2391,18/06/2004,3.7,21.3,151.0
2392,18/06/2004,2.5,14.9,142.0
2393,18/06/2004,2.5,15.6,141.0
2394,18/06/2004,2.3,14.3,129.0
2395,18/06/2004,2.0,12.6,106.0
2396,18/06/2004,2.0,13.4,125.0
2397,18/06/2004,2.1,12.6,126.0
2398,18/06/2004,2.4,14.8,147.0
2399,18/06/2004,3.1,18.6,180.0
2400,18/06/2004,2.9,16.7,164.0
2401,18/06/2004,3.5,20.8,180.0
2402,18/06/2004,2.9,16.0,153.0
2403,18/06/2004,1.5,7.6,105.0
2404,18/06/2004,1.7,10.2,98.0
2405,18/06/2004,2.2,13.8,107.0
2406,19/06/2004,1.6,10.4,87.0
2407,19/06/2004,1.0,6.5,80.0
2408,19/06/2004,0.6,4.3,62.0
2409,19/06/2004,0.6,3.4,
2410,19/06/2004,0.6,3.9,54.0
2411,19/06/2004,0.5,3.0,56.0
2412,19/06/2004,0.5,3.2,62.0
2413,19/06/2004,0.9,5.6,72.0
2414,19/06/2004,1.4,9.1,86.0
2415,19/06/2004,1.6,9.7,99.0
2416,19/06/2004,1.6,8.6,98.0
2417,19/06/2004,1.7,9.6,102.0
2418,19/06/2004,1.7,9.8,84.0
2419,19/06/2004,1.5,10.3,83.0
2420,19/06/2004,1.2,,68.0
2421,19/06/2004,1.2,,63.0
2422,19/06/2004,1.1,,65.0
2423,19/06/2004,1.0,,63.0
2424,19/06/2004,1.1,,56.0
2425,19/06/2004,1.6,,77.0
2426,19/06/2004,1.7,,91.0
2427,19/06/2004,1.4,,70.0
2428,19/06/2004,1.7,,95.0
2429,19/06/2004,2.4,,113.0
2430,20/06/2004,2.3,,109.0
2431,20/06/2004,1.2,,65.0
2432,20/06/2004,1.0,,60.0
2433,20/06/2004,1.4,,
2434,20/06/2004,,,62.0
2435,20/06/2004,1.0,,60.0
2436,20/06/2004,0.9,,65.0
2437,20/06/2004,0.8,,55.0
2438,20/06/2004,1.0,,66.0
2439,20/06/2004,1.2,,67.0
2440,20/06/2004,1.2,,64.0
2441,20/06/2004,1.0,,59.0
2442,20/06/2004,1.0,,59.0
2443,20/06/2004,0.6,,36.0
2444,20/06/2004,0.7,,35.0
2445,20/06/2004,0.8,,54.0
2446,20/06/2004,1.1,,71.0
2447,20/06/2004,1.4,,86.0
2448,20/06/2004,2.8,,114.0
2449,20/06/2004,2.5,,105.0
2450,20/06/2004,1.6,,87.0
2451,20/06/2004,1.4,,85.0
2452,20/06/2004,2.3,,91.0
2453,20/06/2004,4.2,,108.0
2454,21/06/2004,3.0,,99.0
2455,21/06/2004,2.2,,83.0
2456,21/06/2004,0.6,,36.0
2457,21/06/2004,0.3,,
2458,21/06/2004,0.3,1.5,24.0
2459,21/06/2004,0.5,3.5,43.0
2460,21/06/2004,1.3,8.3,64.0
2461,21/06/2004,2.5,17.3,91.0
2462,21/06/2004,3.7,23.3,109.0
2463,21/06/2004,2.5,13.8,110.0
2464,21/06/2004,1.8,10.2,111.0
2465,21/06/2004,1.5,7.9,106.0
2466,21/06/2004,1.5,8.8,104.0
2467,21/06/2004,1.2,7.2,76.0
2468,21/06/2004,1.4,8.3,84.0
2469,21/06/2004,1.6,9.6,102.0
2470,21/06/2004,1.6,9.0,102.0
2471,21/06/2004,2.2,12.4,124.0
2472,21/06/2004,3.0,15.3,147.0
2473,21/06/2004,3.0,16.1,138.0
2474,21/06/2004,2.7,14.1,126.0
2475,21/06/2004,2.1,11.4,112.0
2476,21/06/2004,1.6,9.5,95.0
2477,21/06/2004,1.3,7.4,80.0
2478,22/06/2004,1.1,6.4,79.0
2479,22/06/2004,0.7,4.1,49.0
2480,22/06/2004,0.4,1.9,36.0
2481,22/06/2004,0.2,1.4,
2482,22/06/2004,0.2,1.2,40.0
2483,22/06/2004,0.3,2.2,37.0
2484,22/06/2004,0.9,6.4,67.0
2485,22/06/2004,3.1,18.5,106.0
2486,22/06/2004,5.0,30.2,134.0
2487,22/06/2004,2.8,14.2,123.0
2488,22/06/2004,2.8,14.3,136.0
2489,22/06/2004,2.1,12.6,109.0
2490,22/06/2004,3.1,18.0,144.0
2491,22/06/2004,3.0,17.1,154.0
2492,22/06/2004,2.1,13.0,126.0
2493,22/06/2004,1.7,11.2,98.0
2494,22/06/2004,2.2,13.6,120.0
2495,22/06/2004,3.5,20.5,145.0
2496,22/06/2004,3.6,20.2,139.0
2497,22/06/2004,4.1,23.1,148.0
2498,22/06/2004,4.0,20.3,139.0
2499,22/06/2004,1.8,9.3,93.0
2500,22/06/2004,1.7,10.5,96.0
2501,22/06/2004,2.4,13.6,104.0
2502,23/06/2004,1.2,8.0,83.0
2503,23/06/2004,0.8,4.6,66.0
2504,23/06/2004,0.5,3.2,55.0
2505,23/06/2004,0.3,2.4,
2506,23/06/2004,,2.1,37.0
2507,23/06/2004,0.4,2.2,40.0
2508,23/06/2004,1.0,6.7,51.0
2509,23/06/2004,3.8,23.1,117.0
2510,23/06/2004,3.2,19.0,110.0
2511,23/06/2004,3.5,20.1,136.0
2512,23/06/2004,3.2,16.4,152.0
2513,23/06/2004,2.3,13.0,119.0
2514,23/06/2004,2.2,13.1,106.0
2515,23/06/2004,2.1,11.8,101.0
2516,23/06/2004,1.9,12.7,110.0
2517,23/06/2004,2.4,14.1,124.0
2518,23/06/2004,2.5,14.4,137.0
2519,23/06/2004,3.6,20.7,159.0
2520,23/06/2004,3.9,21.6,152.0
2521,23/06/2004,4.4,24.2,166.0
2522,23/06/2004,4.8,21.8,163.0
2523,23/06/2004,2.5,13.0,121.0
2524,23/06/2004,2.8,15.1,125.0
2525,23/06/2004,3.2,16.6,120.0
2526,24/06/2004,2.6,12.7,103.0
2527,24/06/2004,1.5,8.6,64.0
2528,24/06/2004,1.0,5.3,44.0
2529,24/06/2004,0.8,3.6,
2530,24/06/2004,0.6,2.8,35.0
2531,24/06/2004,0.6,3.1,46.0
2532,24/06/2004,0.7,3.7,54.0
2533,24/06/2004,1.2,6.9,68.0
2534,24/06/2004,1.5,8.6,77.0
2535,24/06/2004,1.3,7.1,74.0
2536,24/06/2004,1.6,6.6,92.0
2537,24/06/2004,1.5,7.2,83.0
2538,24/06/2004,1.2,5.0,58.0
2539,24/06/2004,1.1,5.7,55.0
2540,24/06/2004,1.2,6.0,61.0
2541,24/06/2004,1.3,6.1,65.0
2542,24/06/2004,1.4,8.0,74.0
2543,24/06/2004,1.6,7.8,89.0
2544,24/06/2004,2.1,11.1,103.0
2545,24/06/2004,3.0,15.9,128.0
2546,24/06/2004,2.8,13.7,122.0
2547,24/06/2004,3.8,21.6,125.0
2548,24/06/2004,3.2,16.8,119.0
2549,24/06/2004,4.1,20.5,126.0
2550,25/06/2004,2.6,14.1,100.0
2551,25/06/2004,2.0,10.9,94.0
2552,25/06/2004,0.9,3.6,52.0
2553,25/06/2004,0.7,3.3,
2554,25/06/2004,0.6,2.4,64.0
2555,25/06/2004,0.6,3.0,46.0
2556,25/06/2004,1.6,8.9,88.0
2557,25/06/2004,2.6,14.8,104.0
2558,25/06/2004,2.9,16.2,125.0
2559,25/06/2004,2.8,14.6,151.0
2560,25/06/2004,1.9,8.0,113.0
2561,25/06/2004,1.9,9.1,102.0
2562,25/06/2004,2.1,10.0,108.0
2563,25/06/2004,1.9,9.8,93.0
2564,25/06/2004,1.6,8.3,89.0
2565,25/06/2004,1.6,7.5,84.0
2566,25/06/2004,2.1,11.7,111.0
2567,25/06/2004,2.4,13.3,115.0
2568,25/06/2004,2.8,14.4,127.0
2569,25/06/2004,3.4,17.9,129.0
2570,25/06/2004,3.4,15.9,140.0
2571,25/06/2004,2.7,14.2,137.0
2572,25/06/2004,2.6,13.8,130.0
2573,25/06/2004,2.3,11.7,121.0
2574,26/06/2004,1.2,6.2,79.0
2575,26/06/2004,1.0,5.1,69.0
2576,26/06/2004,0.9,4.5,61.0
2577,26/06/2004,1.1,4.9,
2578,26/06/2004,,2.5,58.0
2579,26/06/2004,0.4,2.3,58.0
2580,26/06/2004,0.9,5.5,70.0
2581,26/06/2004,1.8,10.4,104.0
2582,26/06/2004,2.2,12.4,109.0
2583,26/06/2004,2.4,14.0,129.0
2584,26/06/2004,2.3,12.7,144.0
2585,26/06/2004,1.6,9.0,101.0
2586,26/06/2004,1.4,8.5,90.0
2587,26/06/2004,1.4,8.2,86.0
2588,26/06/2004,1.0,5.9,69.0
2589,26/06/2004,1.0,5.6,65.0
2590,26/06/2004,1.2,6.7,73.0
2591,26/06/2004,1.3,6.1,73.0
2592,26/06/2004,1.5,6.7,78.0
2593,26/06/2004,1.9,9.2,98.0
2594,26/06/2004,1.8,8.2,99.0
2595,26/06/2004,1.4,7.0,83.0
2596,26/06/2004,1.7,9.5,88.0
2597,26/06/2004,2.7,15.1,117.0
2598,27/06/2004,2.1,11.7,97.0
2599,27/06/2004,1.4,9.3,75.0
2600,27/06/2004,1.0,6.4,53.0
2601,27/06/2004,1.0,6.7,
2602,27/06/2004,0.8,4.2,45.0
2603,27/06/2004,0.5,2.6,42.0
2604,27/06/2004,0.6,2.8,44.0
2605,27/06/2004,0.6,3.1,50.0
2606,27/06/2004,1.0,6.2,60.0
2607,27/06/2004,1.6,7.9,100.0
2608,27/06/2004,1.9,10.5,111.0
2609,27/06/2004,1.7,9.0,110.0
2610,27/06/2004,1.1,6.3,74.0
2611,27/06/2004,0.8,3.5,56.0
2612,27/06/2004,0.7,4.0,50.0
2613,27/06/2004,0.7,4.2,54.0
2614,27/06/2004,1.2,6.9,90.0
2615,27/06/2004,1.6,7.9,109.0
2616,27/06/2004,1.6,7.9,110.0
2617,27/06/2004,1.7,10.3,103.0
2618,27/06/2004,2.0,10.5,120.0
2619,27/06/2004,2.3,12.7,134.0
2620,27/06/2004,2.4,11.9,137.0
2621,27/06/2004,1.7,9.3,99.0
2622,28/06/2004,1.2,7.9,78.0
2623,28/06/2004,1.0,5.0,63.0
2624,28/06/2004,0.6,3.4,41.0
2625,28/06/2004,0.5,3.2,
2626,28/06/2004,0.4,2.7,39.0
2627,28/06/2004,0.5,3.1,60.0
2628,28/06/2004,0.7,5.0,54.0
2629,28/06/2004,3.2,20.7,119.0
2630,28/06/2004,5.6,32.4,159.0
2631,28/06/2004,4.6,24.2,182.0
2632,28/06/2004,3.3,16.6,183.0
2633,28/06/2004,2.1,13.2,144.0
2634,28/06/2004,1.9,12.3,118.0
2635,28/06/2004,1.9,12.1,106.0
2636,28/06/2004,1.6,11.1,97.0
2637,28/06/2004,2.0,13.1,129.0
2638,28/06/2004,1.8,11.6,130.0
2639,28/06/2004,2.9,17.7,163.0
2640,28/06/2004,3.4,19.5,160.0
2641,28/06/2004,3.1,19.7,140.0
2642,28/06/2004,2.5,15.1,115.0
2643,28/06/2004,1.8,11.1,92.0
2644,28/06/2004,1.8,11.7,99.0
2645,28/06/2004,2.0,11.7,96.0
2646,29/06/2004,1.5,9.7,80.0
2647,29/06/2004,0.8,6.0,65.0
2648,29/06/2004,0.4,3.9,46.0
2649,29/06/2004,0.3,2.6,
2650,29/06/2004,,2.8,57.0
2651,29/06/2004,0.5,3.0,54.0
2652,29/06/2004,0.7,5.4,62.0
2653,29/06/2004,3.4,23.5,102.0
2654,29/06/2004,5.7,33.5,140.0
2655,29/06/2004,3.2,15.5,121.0
2656,29/06/2004,2.7,15.3,132.0
2657,29/06/2004,2.1,12.8,122.0
2658,29/06/2004,2.8,15.2,148.0
2659,29/06/2004,2.5,15.7,133.0
2660,29/06/2004,2.1,12.3,130.0
2661,29/06/2004,2.5,15.3,141.0
2662,29/06/2004,2.7,17.6,172.0
2663,29/06/2004,3.7,21.5,198.0
2664,29/06/2004,3.7,23.2,181.0
2665,29/06/2004,4.6,25.6,202.0
2666,29/06/2004,2.6,14.3,120.0
2667,29/06/2004,2.5,14.4,115.0
2668,29/06/2004,2.3,12.6,112.0
2669,29/06/2004,2.2,13.7,97.0
2670,30/06/2004,2.5,13.1,100.0
2671,30/06/2004,0.9,6.1,47.0
2672,30/06/2004,0.8,5.8,44.0
2673,30/06/2004,0.7,3.7,
2674,30/06/2004,0.5,2.6,42.0
2675,30/06/2004,0.7,4.6,57.0
2676,30/06/2004,0.9,7.4,61.0
2677,30/06/2004,2.2,15.2,106.0
2678,30/06/2004,2.8,16.7,136.0
2679,30/06/2004,2.9,17.0,157.0
2680,30/06/2004,2.9,18.0,171.0
2681,30/06/2004,3.0,16.1,190.0
2682,30/06/2004,2.5,13.4,155.0
2683,30/06/2004,2.3,14.0,139.0
2684,30/06/2004,2.1,13.4,152.0
2685,30/06/2004,1.9,10.4,143.0
2686,30/06/2004,2.3,12.7,168.0
2687,30/06/2004,4.2,24.5,226.0
2688,30/06/2004,4.9,27.8,207.0
2689,30/06/2004,4.9,23.3,197.0
2690,30/06/2004,3.5,17.6,158.0
2691,30/06/2004,2.5,14.5,124.0
2692,30/06/2004,2.5,14.4,110.0
2693,30/06/2004,2.6,14.2,112.0
2694,01/07/2004,2.3,12.9,102.0
2695,01/07/2004,1.5,9.9,77.0
2696,01/07/2004,0.9,5.1,50.0
2697,01/07/2004,0.6,2.8,
2698,01/07/2004,0.6,3.2,40.0
2699,01/07/2004,0.8,5.4,66.0
2700,01/07/2004,0.9,6.4,60.0
2701,01/07/2004,2.4,17.1,85.0
2702,01/07/2004,3.9,22.3,120.0
2703,01/07/2004,2.9,14.6,134.0
2704,01/07/2004,2.7,13.3,149.0
2705,01/07/2004,2.0,10.5,125.0
2706,01/07/2004,2.4,14.2,132.0
2707,01/07/2004,2.0,12.2,114.0
2708,01/07/2004,1.8,10.1,110.0
2709,01/07/2004,1.9,11.7,121.0
2710,01/07/2004,1.8,10.9,127.0
2711,01/07/2004,2.9,17.3,157.0
2712,01/07/2004,3.3,18.0,169.0
2713,01/07/2004,4.4,22.9,179.0
2714,01/07/2004,3.4,16.5,149.0
2715,01/07/2004,1.9,10.2,111.0
2716,01/07/2004,2.1,11.6,112.0
2717,01/07/2004,2.5,14.3,120.0
2718,02/07/2004,2.3,13.3,105.0
2719,02/07/2004,1.7,10.0,90.0
2720,02/07/2004,1.5,7.6,87.0
2721,02/07/2004,0.8,3.4,
2722,02/07/2004,,3.3,54.0
2723,02/07/2004,0.5,2.9,61.0
2724,02/07/2004,0.8,5.6,63.0
2725,02/07/2004,2.6,17.5,102.0
2726,02/07/2004,4.9,29.0,149.0
2727,02/07/2004,2.9,17.0,147.0
2728,02/07/2004,2.8,15.6,158.0
2729,02/07/2004,1.8,10.1,112.0
2730,02/07/2004,1.8,11.7,108.0
2731,02/07/2004,1.9,12.0,120.0
2732,02/07/2004,1.7,11.0,117.0
2733,02/07/2004,1.7,11.2,119.0
2734,02/07/2004,1.9,10.5,149.0
2735,02/07/2004,2.1,11.8,174.0
2736,02/07/2004,2.4,13.8,163.0
2737,02/07/2004,3.0,17.3,161.0
2738,02/07/2004,2.8,14.2,154.0
2739,02/07/2004,1.9,10.7,124.0
2740,02/07/2004,2.1,12.7,122.0
2741,02/07/2004,1.8,10.1,119.0
2742,03/07/2004,2.5,13.1,131.0
2743,03/07/2004,1.1,7.4,84.0
2744,03/07/2004,0.7,4.6,77.0
2745,03/07/2004,0.7,4.7,
2746,03/07/2004,0.4,2.8,41.0
2747,03/07/2004,0.7,4.5,68.0
2748,03/07/2004,0.7,5.9,69.0
2749,03/07/2004,1.8,11.1,101.0
2750,03/07/2004,2.3,14.4,120.0
2751,03/07/2004,1.9,11.1,124.0
2752,03/07/2004,1.7,9.9,113.0
2753,03/07/2004,1.3,8.8,97.0
2754,03/07/2004,1.5,9.9,94.0
2755,03/07/2004,1.3,7.4,86.0
2756,03/07/2004,0.8,6.1,70.0
2757,03/07/2004,0.8,6.2,70.0
2758,03/07/2004,1.1,7.1,82.0
2759,03/07/2004,1.2,8.0,93.0
2760,03/07/2004,1.2,7.3,89.0
2761,03/07/2004,1.4,8.7,90.0
2762,03/07/2004,1.1,7.5,67.0
2763,03/07/2004,1.5,9.0,94.0
2764,03/07/2004,2.0,11.6,109.0
2765,03/07/2004,1.9,10.2,103.0
2766,04/07/2004,2.2,12.3,101.0
2767,04/07/2004,1.1,6.4,71.0
2768,04/07/2004,1.1,7.2,71.0
2769,04/07/2004,0.8,6.1,
2770,04/07/2004,0.6,4.3,49.0
2771,04/07/2004,0.6,3.8,43.0
2772,04/07/2004,0.6,4.0,44.0
2773,04/07/2004,0.6,4.2,42.0
2774,04/07/2004,1.1,6.1,69.0
2775,04/07/2004,1.0,6.0,65.0
2776,04/07/2004,1.0,5.9,68.0
2777,04/07/2004,1.0,5.4,58.0
2778,04/07/2004,0.8,4.9,52.0
2779,04/07/2004,0.7,3.9,46.0
2780,04/07/2004,0.4,3.2,40.0
2781,04/07/2004,0.5,4.1,47.0
2782,04/07/2004,0.6,4.0,56.0
2783,04/07/2004,0.7,4.8,64.0
2784,04/07/2004,0.9,5.5,71.0
2785,04/07/2004,1.6,9.1,103.0
2786,04/07/2004,1.6,9.1,97.0
2787,04/07/2004,1.7,10.1,108.0
2788,04/07/2004,1.3,7.4,87.0
2789,04/07/2004,1.9,9.9,104.0
2790,05/07/2004,1.5,9.0,93.0
2791,05/07/2004,0.6,3.7,55.0
2792,05/07/2004,0.4,3.0,49.0
2793,05/07/2004,0.3,2.5,
2794,05/07/2004,,2.6,56.0
2795,05/07/2004,0.4,2.4,43.0
2796,05/07/2004,0.7,5.6,57.0
2797,05/07/2004,2.0,14.3,80.0
2798,05/07/2004,3.9,27.7,134.0
2799,05/07/2004,3.6,19.1,157.0
2800,05/07/2004,3.2,15.9,175.0
2801,05/07/2004,2.2,12.3,147.0
2802,05/07/2004,2.2,12.2,140.0
2803,05/07/2004,2.1,11.7,137.0
2804,05/07/2004,1.8,10.4,123.0
2805,05/07/2004,2.0,12.7,138.0
2806,05/07/2004,1.8,11.1,132.0
2807,05/07/2004,3.0,19.0,174.0
2808,05/07/2004,4.3,24.1,203.0
2809,05/07/2004,3.5,19.1,176.0
2810,05/07/2004,2.5,13.6,125.0
2811,05/07/2004,1.8,10.7,98.0
2812,05/07/2004,1.9,11.3,103.0
2813,05/07/2004,1.9,9.6,104.0
2814,06/07/2004,1.9,9.8,105.0
2815,06/07/2004,0.9,4.9,75.0
2816,06/07/2004,0.7,4.1,60.0
2817,06/07/2004,0.6,3.3,
2818,06/07/2004,0.4,2.2,36.0
2819,06/07/2004,0.7,4.6,66.0
2820,06/07/2004,1.6,10.2,97.0
2821,06/07/2004,3.8,23.3,115.0
2822,06/07/2004,5.1,31.0,145.0
2823,06/07/2004,3.4,17.6,162.0
2824,06/07/2004,2.6,14.3,147.0
2825,06/07/2004,2.2,13.7,132.0
2826,06/07/2004,3.4,19.3,179.0
2827,06/07/2004,3.4,19.3,174.0
2828,06/07/2004,1.8,11.3,132.0
2829,06/07/2004,2.0,12.7,151.0
2830,06/07/2004,2.4,15.3,168.0
2831,06/07/2004,3.8,22.5,192.0
2832,06/07/2004,4.4,25.0,194.0
2833,06/07/2004,3.9,21.1,155.0
2834,06/07/2004,4.0,23.8,159.0
2835,06/07/2004,2.5,14.9,125.0
2836,06/07/2004,2.1,12.8,108.0
2837,06/07/2004,2.4,14.3,110.0
2838,07/07/2004,2.1,14.3,99.0
2839,07/07/2004,1.6,9.2,95.0
2840,07/07/2004,0.8,5.1,69.0
2841,07/07/2004,0.5,3.0,
2842,07/07/2004,0.4,2.6,45.0
2843,07/07/2004,0.5,4.0,53.0
2844,07/07/2004,1.3,9.9,88.0
2845,07/07/2004,4.1,27.3,136.0
2846,07/07/2004,4.1,27.9,141.0
2847,07/07/2004,4.0,24.5,189.0
2848,07/07/2004,2.2,14.2,166.0
2849,07/07/2004,2.0,11.9,154.0
2850,07/07/2004,2.0,13.1,149.0
2851,07/07/2004,2.2,15.1,142.0
2852,07/07/2004,2.2,14.1,130.0
2853,07/07/2004,1.8,11.3,121.0
2854,07/07/2004,1.8,10.8,116.0
2855,07/07/2004,3.3,21.5,177.0
2856,07/07/2004,4.3,21.8,233.0
2857,07/07/2004,5.3,29.8,223.0
2858,07/07/2004,4.3,22.5,184.0
2859,07/07/2004,3.6,21.8,165.0
