,T,RH,AH,Value,Type
8482,2.8,70.9,0.5383,980.0,Tin Oxide
8483,3.7,65.9,0.5295,901.0,Tin Oxide
8484,1.6,74.3,0.5168,914.0,Tin Oxide
8485,1.4,76.3,0.5261,940.0,Tin Oxide
8486,2.5,69.5,0.5172,935.0,Tin Oxide
8487,3.7,64.8,0.5208,970.0,Tin Oxide
8488,7.8,49.9,0.5307,1064.0,Tin Oxide
8489,11.2,37.1,0.4936,1023.0,Tin Oxide
8490,12.6,30.6,0.446,955.0,Tin Oxide
8491,10.3,32.9,0.4131,943.0,Tin Oxide
8492,10.0,35.5,0.4346,895.0,Tin Oxide
8493,8.8,40.0,0.4538,890.0,Tin Oxide
8494,8.3,40.3,0.4431,904.0,Tin Oxide
8495,7.9,38.9,0.4141,888.0,Tin Oxide
8496,6.8,41.0,0.4072,905.0,Tin Oxide
8497,6.0,42.0,0.3962,974.0,Tin Oxide
8498,5.5,43.5,0.3963,1048.0,Tin Oxide
8499,4.6,46.8,0.4001,895.0,Tin Oxide
8500,4.5,48.0,0.4085,875.0,Tin Oxide
8501,4.3,48.6,0.4069,943.0,Tin Oxide
8502,4.0,50.0,0.4115,947.0,Tin Oxide
8503,4.0,52.9,0.4338,865.0,Tin Oxide
8504,4.0,51.0,0.42,823.0,Tin Oxide
8506,3.8,48.0,0.3879,781.0,Tin Oxide
8507,3.6,50.3,0.4022,781.0,Tin Oxide
8508,2.8,52.6,0.3972,779.0,Tin Oxide
8509,2.5,52.7,0.3908,817.0,Tin Oxide
8510,2.7,50.5,0.3804,893.0,Tin Oxide
8511,2.7,49.4,0.3714,883.0,Tin Oxide
8512,3.3,45.2,0.354,839.0,Tin Oxide
8513,3.1,43.3,0.3354,809.0,Tin Oxide
8514,3.7,38.8,0.3123,805.0,Tin Oxide
8515,4.0,36.8,0.3016,840.0,Tin Oxide
8516,3.7,35.0,0.2823,812.0,Tin Oxide
8517,3.4,32.4,0.2563,782.0,Tin Oxide
8518,3.3,33.1,0.2592,799.0,Tin Oxide
8519,2.6,35.1,0.2618,812.0,Tin Oxide
8520,2.1,36.6,0.2634,922.0,Tin Oxide
8521,1.6,37.9,0.2645,938.0,Tin Oxide
8522,1.4,38.0,0.2615,939.0,Tin Oxide
8523,1.0,36.6,0.2456,827.0,Tin Oxide
8524,1.1,35.4,0.2382,776.0,Tin Oxide
8525,1.0,34.3,0.2292,755.0,Tin Oxide
8526,1.0,37.4,0.2487,766.0,Tin Oxide
8527,0.7,41.2,0.2693,762.0,Tin Oxide
8528,0.2,40.6,0.2566,736.0,Tin Oxide
8530,-0.1,37.5,0.2326,716.0,Tin Oxide
8531,-0.3,38.4,0.2347,731.0,Tin Oxide
8532,-0.6,40.1,0.2404,735.0,Tin Oxide
8533,-0.6,41.4,0.2478,779.0,Tin Oxide
8534,-0.2,40.2,0.2478,915.0,Tin Oxide
8535,0.6,36.8,0.2388,905.0,Tin Oxide
8536,2.8,30.3,0.2294,835.0,Tin Oxide
8537,3.1,29.1,0.224,798.0,Tin Oxide
8538,3.3,29.2,0.2288,783.0,Tin Oxide
8539,3.1,31.0,0.2386,807.0,Tin Oxide
8540,3.2,30.8,0.2399,827.0,Tin Oxide
8541,3.3,31.5,0.2464,822.0,Tin Oxide
8542,4.1,28.6,0.2363,830.0,Tin Oxide
8543,3.9,29.2,0.2378,833.0,Tin Oxide
8544,1.9,35.0,0.2494,882.0,Tin Oxide
8545,1.8,35.4,0.2497,967.0,Tin Oxide
8546,1.4,36.5,0.2503,1009.0,Tin Oxide
8547,0.8,36.3,0.2388,911.0,Tin Oxide
8548,0.6,34.1,0.221,808.0,Tin Oxide
8549,0.3,31.9,0.2031,812.0,Tin Oxide
8550,0.2,30.2,0.191,790.0,Tin Oxide
8551,0.0,29.7,0.1847,765.0,Tin Oxide
8552,-0.1,31.9,0.1975,761.0,Tin Oxide
8554,-1.4,44.9,0.2536,790.0,Tin Oxide
8555,-1.3,46.3,0.2635,804.0,Tin Oxide
8556,-1.2,47.2,0.27,831.0,Tin Oxide
8557,-1.3,47.5,0.2702,881.0,Tin Oxide
8558,-1.9,51.4,0.2801,1099.0,Tin Oxide
8559,-0.5,45.9,0.2763,1100.0,Tin Oxide
8560,4.6,32.5,0.2783,1042.0,Tin Oxide
8561,7.5,24.3,0.2528,1026.0,Tin Oxide
8562,9.6,18.8,0.2246,905.0,Tin Oxide
8563,9.3,18.4,0.2157,891.0,Tin Oxide
8564,9.7,18.6,0.2244,968.0,Tin Oxide
8565,10.1,16.7,0.2062,909.0,Tin Oxide
8566,11.8,13.5,0.1862,938.0,Tin Oxide
8567,11.6,15.3,0.2086,971.0,Tin Oxide
8568,9.1,19.2,0.2225,1148.0,Tin Oxide
8569,7.2,25.6,0.2611,1299.0,Tin Oxide
8570,6.1,34.0,0.3237,1315.0,Tin Oxide
8571,5.1,36.4,0.323,1180.0,Tin Oxide
8572,4.8,39.6,0.344,1070.0,Tin Oxide
8573,5.0,39.6,0.3479,1031.0,Tin Oxide
8574,4.1,41.7,0.3456,1047.0,Tin Oxide
8575,4.4,43.3,0.3656,1030.0,Tin Oxide
8576,3.8,45.9,0.3728,986.0,Tin Oxide
8578,3.4,56.3,0.4455,1076.0,Tin Oxide
8579,2.9,67.9,0.5183,1104.0,Tin Oxide
8580,2.8,74.1,0.5618,1160.0,Tin Oxide
8581,2.9,75.6,0.5742,1217.0,Tin Oxide
8582,3.8,72.4,0.5867,1457.0,Tin Oxide
8583,5.9,50.2,0.4706,1337.0,Tin Oxide
8584,7.3,39.4,0.4035,1111.0,Tin Oxide
8585,3.6,75.9,0.6055,1165.0,Tin Oxide
8586,3.6,78.6,0.6283,1129.0,Tin Oxide
8587,5.3,69.2,0.6213,1092.0,Tin Oxide
8588,6.1,66.0,0.6255,1096.0,Tin Oxide
8589,6.0,70.1,0.6577,1108.0,Tin Oxide
8590,6.3,72.1,0.6907,1124.0,Tin Oxide
8591,6.3,75.7,0.7252,1216.0,Tin Oxide
8592,5.6,80.4,0.7382,1437.0,Tin Oxide
8593,4.9,82.4,0.7201,1473.0,Tin Oxide
8594,4.3,84.0,0.7051,1396.0,Tin Oxide
8595,4.3,83.6,0.7025,1285.0,Tin Oxide
8596,4.6,82.5,0.7066,1206.0,Tin Oxide
8597,4.4,82.0,0.6938,1179.0,Tin Oxide
8598,4.3,80.9,0.6791,1213.0,Tin Oxide
8599,4.1,81.2,0.6721,1142.0,Tin Oxide
8600,3.9,80.9,0.6613,1089.0,Tin Oxide
8602,4.5,65.1,0.5547,888.0,Tin Oxide
8603,4.0,75.2,0.6161,979.0,Tin Oxide
8604,3.7,76.4,0.6164,1023.0,Tin Oxide
8605,3.1,77.3,0.5985,1153.0,Tin Oxide
8606,3.7,74.4,0.5992,1393.0,Tin Oxide
8607,5.0,69.4,0.6118,1567.0,Tin Oxide
8608,6.5,60.9,0.5919,1334.0,Tin Oxide
8609,7.6,59.8,0.6245,1280.0,Tin Oxide
8610,8.6,57.6,0.6471,1330.0,Tin Oxide
8611,10.9,52.4,0.6826,1349.0,Tin Oxide
8612,12.3,48.3,0.6871,1349.0,Tin Oxide
8613,12.5,43.4,0.6298,1344.0,Tin Oxide
8614,11.9,42.3,0.5902,1337.0,Tin Oxide
8615,12.3,41.2,0.5867,1316.0,Tin Oxide
8616,10.8,48.1,0.6235,1253.0,Tin Oxide
8617,8.9,52.5,0.5996,1258.0,Tin Oxide
8618,8.4,54.7,0.6057,1326.0,Tin Oxide
8619,7.5,58.7,0.6112,1109.0,Tin Oxide
8620,6.9,60.0,0.5977,1029.0,Tin Oxide
8621,6.6,61.3,0.5995,1112.0,Tin Oxide
8622,6.3,59.8,0.5761,1100.0,Tin Oxide
8623,5.4,65.8,0.5935,1136.0,Tin Oxide
8624,5.8,59.6,0.5523,1000.0,Tin Oxide
8626,4.4,63.9,0.5385,1009.0,Tin Oxide
8627,4.2,62.5,0.5191,975.0,Tin Oxide
8628,3.1,68.6,0.5302,993.0,Tin Oxide
8629,4.6,54.6,0.4682,872.0,Tin Oxide
8630,5.0,54.5,0.4788,1017.0,Tin Oxide
8631,7.0,48.1,0.4847,1070.0,Tin Oxide
8632,10.0,37.7,0.4643,915.0,Tin Oxide
8633,13.0,30.3,0.452,978.0,Tin Oxide
8634,14.0,28.1,0.4476,968.0,Tin Oxide
8635,13.3,28.9,0.4399,1008.0,Tin Oxide
8636,13.4,29.0,0.4436,1025.0,Tin Oxide
8637,13.5,28.3,0.4374,983.0,Tin Oxide
8638,13.0,29.7,0.442,1018.0,Tin Oxide
8639,11.6,38.7,0.5271,1101.0,Tin Oxide
8640,8.6,56.3,0.6312,1116.0,Tin Oxide
8641,8.5,57.9,0.6435,1161.0,Tin Oxide
8642,7.8,63.4,0.6735,1212.0,Tin Oxide
8643,7.2,69.5,0.7084,1225.0,Tin Oxide
8644,6.5,74.7,0.7248,1154.0,Tin Oxide
8645,6.5,73.9,0.7224,1140.0,Tin Oxide
8646,6.8,72.1,0.7143,1201.0,Tin Oxide
8647,7.0,60.0,0.6055,1011.0,Tin Oxide
8648,7.2,47.8,0.487,867.0,Tin Oxide
8650,6.8,52.9,0.5245,859.0,Tin Oxide
8651,5.8,65.0,0.6029,859.0,Tin Oxide
8652,5.8,59.4,0.5502,842.0,Tin Oxide
8653,5.5,58.3,0.529,856.0,Tin Oxide
8654,5.9,54.8,0.5119,867.0,Tin Oxide
8655,7.3,48.7,0.5007,877.0,Tin Oxide
8656,9.4,39.9,0.4707,869.0,Tin Oxide
8657,11.2,33.8,0.449,900.0,Tin Oxide
8658,12.3,29.9,0.4255,899.0,Tin Oxide
8659,14.8,23.7,0.3945,895.0,Tin Oxide
8660,13.1,26.6,0.399,992.0,Tin Oxide
8661,13.3,25.7,0.3914,1104.0,Tin Oxide
8662,12.0,27.7,0.3885,933.0,Tin Oxide
8663,11.5,30.1,0.4067,973.0,Tin Oxide
8664,10.1,33.2,0.4115,1069.0,Tin Oxide
8665,8.6,38.1,0.4282,1055.0,Tin Oxide
8666,8.0,41.2,0.4433,1032.0,Tin Oxide
8667,7.5,43.8,0.4551,982.0,Tin Oxide
8668,6.8,46.9,0.465,968.0,Tin Oxide
8669,6.1,46.3,0.4394,979.0,Tin Oxide
8670,5.6,45.5,0.4187,935.0,Tin Oxide
8671,5.4,48.8,0.4393,942.0,Tin Oxide
8672,5.1,51.2,0.4534,883.0,Tin Oxide
8674,5.2,57.2,0.5094,843.0,Tin Oxide
8675,4.5,63.1,0.5381,872.0,Tin Oxide
8676,5.2,54.5,0.486,862.0,Tin Oxide
8677,5.6,51.3,0.4712,917.0,Tin Oxide
8678,5.9,45.4,0.4244,1022.0,Tin Oxide
8679,6.9,41.3,0.4145,1022.0,Tin Oxide
8680,8.6,34.2,0.3834,961.0,Tin Oxide
8681,9.6,27.7,0.3308,912.0,Tin Oxide
8682,10.6,25.3,0.3224,896.0,Tin Oxide
8683,10.2,25.6,0.3181,890.0,Tin Oxide
8684,10.0,25.2,0.3079,891.0,Tin Oxide
8685,9.7,25.7,0.3088,894.0,Tin Oxide
8686,9.7,26.8,0.3226,907.0,Tin Oxide
8687,9.4,27.3,0.3216,973.0,Tin Oxide
8688,7.9,28.0,0.2999,1035.0,Tin Oxide
8689,6.9,30.7,0.3066,1146.0,Tin Oxide
8690,6.1,33.3,0.3152,1176.0,Tin Oxide
8691,5.0,37.4,0.329,1057.0,Tin Oxide
8692,4.2,40.9,0.3417,974.0,Tin Oxide
8693,3.9,43.5,0.3538,1044.0,Tin Oxide
8694,3.0,47.7,0.3658,988.0,Tin Oxide
8695,2.5,52.1,0.3855,1016.0,Tin Oxide
8696,2.0,53.5,0.3831,929.0,Tin Oxide
8698,0.5,59.4,0.3841,872.0,Tin Oxide
8699,1.4,56.8,0.3903,888.0,Tin Oxide
8700,0.9,58.4,0.388,927.0,Tin Oxide
8701,0.3,61.0,0.3881,991.0,Tin Oxide
8702,0.9,59.1,0.3913,1317.0,Tin Oxide
8703,4.1,47.9,0.3959,1402.0,Tin Oxide
8704,7.7,34.6,0.3652,1222.0,Tin Oxide
8705,10.9,25.7,0.3341,1109.0,Tin Oxide
8706,13.7,17.4,0.2715,959.0,Tin Oxide
8707,14.0,16.8,0.2672,964.0,Tin Oxide
8708,14.1,17.0,0.2729,1006.0,Tin Oxide
8709,15.0,15.8,0.2678,1002.0,Tin Oxide
8710,16.5,14.9,0.2775,997.0,Tin Oxide
8711,15.8,16.7,0.2972,1019.0,Tin Oxide
8712,13.2,23.9,0.3597,1192.0,Tin Oxide
8713,11.0,33.8,0.4436,1399.0,Tin Oxide
8714,9.5,39.0,0.4644,1419.0,Tin Oxide
8715,8.5,42.4,0.4716,1250.0,Tin Oxide
8716,7.5,44.0,0.4564,1156.0,Tin Oxide
8717,6.6,46.0,0.4505,1064.0,Tin Oxide
8718,5.5,49.6,0.4526,1066.0,Tin Oxide
8719,4.9,52.2,0.4567,1031.0,Tin Oxide
8720,4.6,53.5,0.4584,973.0,Tin Oxide
8722,3.8,56.8,0.4614,930.0,Tin Oxide
8723,2.3,63.5,0.463,949.0,Tin Oxide
8724,2.0,64.9,0.4657,979.0,Tin Oxide
8725,2.0,65.3,0.4688,1094.0,Tin Oxide
8726,3.3,61.6,0.4829,1450.0,Tin Oxide
8727,5.7,52.5,0.4851,1508.0,Tin Oxide
8728,8.3,43.5,0.4774,1374.0,Tin Oxide
8729,10.5,38.9,0.4926,1308.0,Tin Oxide
8730,14.5,33.4,0.5488,1249.0,Tin Oxide
8731,15.7,34.6,0.6147,1282.0,Tin Oxide
8732,16.1,36.3,0.6593,1253.0,Tin Oxide
8733,17.3,34.5,0.6728,1222.0,Tin Oxide
8734,17.6,34.1,0.6781,1201.0,Tin Oxide
8735,18.0,33.1,0.6779,1238.0,Tin Oxide
8736,14.6,41.0,0.6792,1434.0,Tin Oxide
8737,12.8,46.2,0.6794,1573.0,Tin Oxide
8738,11.5,53.9,0.7312,1552.0,Tin Oxide
8739,10.6,58.8,0.7512,1510.0,Tin Oxide
8740,9.7,60.0,0.7238,1165.0,Tin Oxide
8741,8.3,64.2,0.7071,1177.0,Tin Oxide
8742,7.8,65.5,0.6961,1135.0,Tin Oxide
8743,7.5,65.9,0.6868,1070.0,Tin Oxide
8744,6.1,72.1,0.6847,1034.0,Tin Oxide
8746,4.0,80.9,0.667,988.0,Tin Oxide
8747,4.2,79.1,0.6611,975.0,Tin Oxide
8748,5.3,73.2,0.6577,984.0,Tin Oxide
8749,4.3,76.1,0.6395,1092.0,Tin Oxide
8750,4.8,74.6,0.647,1454.0,Tin Oxide
8751,7.5,64.5,0.6702,1446.0,Tin Oxide
8752,11.7,49.3,0.6772,1316.0,Tin Oxide
8753,14.7,41.2,0.6857,1283.0,Tin Oxide
8754,17.4,33.2,0.6535,1223.0,Tin Oxide
8756,19.1,18.1,0.3955,1041.0,Tin Oxide
8757,19.5,15.3,0.3431,1008.0,Tin Oxide
8758,20.2,14.4,0.337,962.0,Tin Oxide
8759,19.8,16.0,0.3632,1048.0,Tin Oxide
8760,16.5,21.6,0.4012,1145.0,Tin Oxide
8761,14.5,18.3,0.2996,1198.0,Tin Oxide
8762,12.8,22.8,0.3364,1319.0,Tin Oxide
8763,11.5,35.9,0.4862,1274.0,Tin Oxide
8764,9.5,34.6,0.411,1085.0,Tin Oxide
8765,8.3,38.2,0.4203,1017.0,Tin Oxide
8766,7.7,41.7,0.4387,1039.0,Tin Oxide
8767,6.8,44.9,0.4472,1027.0,Tin Oxide
8768,5.7,49.4,0.4551,952.0,Tin Oxide
8769,5.7,50.1,0.4629,930.0,Tin Oxide
8770,4.4,56.4,0.4761,942.0,Tin Oxide
8771,4.9,55.2,0.4807,897.0,Tin Oxide
8772,4.5,56.3,0.48,928.0,Tin Oxide
8773,3.8,59.7,0.4839,987.0,Tin Oxide
8774,4.3,58.6,0.4915,1272.0,Tin Oxide
8775,7.1,50.0,0.5067,1452.0,Tin Oxide
8776,11.1,38.4,0.5066,1415.0,Tin Oxide
8778,17.2,30.6,0.5949,1203.0,Tin Oxide
8779,17.8,33.3,0.6741,1258.0,Tin Oxide
8780,18.8,31.8,0.6853,1328.0,Tin Oxide
8781,19.3,29.9,0.6604,1260.0,Tin Oxide
8782,18.8,31.5,0.6752,1201.0,Tin Oxide
8783,18.2,28.1,0.5817,1161.0,Tin Oxide
8784,16.0,35.3,0.6356,1254.0,Tin Oxide
8785,13.8,43.6,0.6825,1452.0,Tin Oxide
8786,12.9,48.8,0.725,1438.0,Tin Oxide
8787,12.8,49.3,0.7277,1273.0,Tin Oxide
8788,12.2,50.9,0.7202,1096.0,Tin Oxide
8789,10.6,55.9,0.7138,1151.0,Tin Oxide
8790,10.3,55.9,0.7014,1189.0,Tin Oxide
8791,10.2,55.8,0.6927,1078.0,Tin Oxide
8792,10.0,57.3,0.7015,1152.0,Tin Oxide
8793,10.2,57.9,0.7191,1128.0,Tin Oxide
8794,10.3,59.4,0.7459,1015.0,Tin Oxide
8795,9.8,68.9,0.8329,979.0,Tin Oxide
8796,9.2,75.3,0.8764,972.0,Tin Oxide
8797,9.4,73.1,0.8621,992.0,Tin Oxide
8798,10.6,66.1,0.8444,1053.0,Tin Oxide
8799,12.6,58.5,0.8517,1140.0,Tin Oxide
8800,15.0,48.6,0.8253,1136.0,Tin Oxide
8801,14.2,51.5,0.8313,1180.0,Tin Oxide
8802,15.1,48.6,0.8266,1131.0,Tin Oxide
8803,18.0,35.4,0.7233,1083.0,Tin Oxide
8804,17.9,35.3,0.7184,1120.0,Tin Oxide
8805,17.7,35.0,0.7014,1038.0,Tin Oxide
8806,17.6,35.5,0.7065,1096.0,Tin Oxide
8807,17.5,34.1,0.6775,1126.0,Tin Oxide
8808,15.6,40.0,0.7018,1153.0,Tin Oxide
8809,14.0,47.8,0.7582,1177.0,Tin Oxide
8810,13.2,51.4,0.776,1383.0,Tin Oxide
8811,12.0,56.1,0.7832,1363.0,Tin Oxide
8812,11.6,54.7,0.7454,1087.0,Tin Oxide
8813,12.0,53.3,0.7472,1028.0,Tin Oxide
8814,12.5,55.4,0.7999,1017.0,Tin Oxide
8815,12.3,56.0,0.7958,1050.0,Tin Oxide
8816,12.4,53.4,0.7669,1023.0,Tin Oxide
8817,12.7,51.8,0.7574,940.0,Tin Oxide
8818,13.2,49.7,0.7503,963.0,Tin Oxide
8819,12.3,55.9,0.7966,971.0,Tin Oxide
8820,13.3,50.1,0.7624,887.0,Tin Oxide
8821,12.3,51.8,0.7384,944.0,Tin Oxide
8822,12.9,50.4,0.7448,970.0,Tin Oxide
8823,12.9,49.9,0.7406,1034.0,Tin Oxide
8824,13.9,47.3,0.7479,1160.0,Tin Oxide
8825,13.5,51.6,0.7931,1283.0,Tin Oxide
8826,13.2,56.2,0.8499,1387.0,Tin Oxide
8827,14.2,57.8,0.9292,1325.0,Tin Oxide
8828,17.2,46.2,0.8989,1057.0,Tin Oxide
8829,19.9,36.6,0.8406,1078.0,Tin Oxide
8830,19.7,37.1,0.8399,1159.0,Tin Oxide
8831,19.0,37.4,0.8122,1195.0,Tin Oxide
8832,16.4,43.5,0.8055,1217.0,Tin Oxide
8833,15.1,49.8,0.8458,1542.0,Tin Oxide
8834,14.8,51.0,0.8507,1407.0,Tin Oxide
8835,14.6,51.6,0.8508,1189.0,Tin Oxide
8836,13.7,52.1,0.8121,1208.0,Tin Oxide
8837,13.2,55.6,0.8412,1207.0,Tin Oxide
8838,13.2,55.9,0.8465,1056.0,Tin Oxide
8839,11.7,62.1,0.8535,1128.0,Tin Oxide
8840,9.9,68.9,0.8388,1119.0,Tin Oxide
8841,9.8,68.0,0.8227,1077.0,Tin Oxide
8842,8.9,71.9,0.8202,1036.0,Tin Oxide
8843,8.4,74.5,0.8241,1016.0,Tin Oxide
8844,9.2,71.0,0.8299,1103.0,Tin Oxide
8845,9.9,67.6,0.8239,1176.0,Tin Oxide
8846,10.8,64.4,0.8328,1430.0,Tin Oxide
8847,11.7,61.7,0.8483,1572.0,Tin Oxide
8848,13.7,51.9,0.8106,1243.0,Tin Oxide
8849,16.3,43.5,0.7988,1101.0,Tin Oxide
8850,17.9,38.8,0.7883,1103.0,Tin Oxide
8851,19.3,35.5,0.7876,1116.0,Tin Oxide
8852,20.1,32.9,0.7672,1141.0,Tin Oxide
8853,20.0,33.0,0.7625,1151.0,Tin Oxide
8854,20.2,32.2,0.7526,1263.0,Tin Oxide
8855,18.9,34.4,0.7436,1324.0,Tin Oxide
8856,17.9,37.6,0.7624,1533.0,Tin Oxide
8857,16.7,43.4,0.8168,1626.0,Tin Oxide
8858,15.9,47.9,0.8573,1639.0,Tin Oxide
8859,15.3,52.6,0.906,1346.0,Tin Oxide
8860,13.7,58.5,0.9146,1218.0,Tin Oxide
8861,12.7,62.8,0.9198,1166.0,Tin Oxide
8862,12.2,65.0,0.9193,1095.0,Tin Oxide
8863,13.0,61.2,0.9105,958.0,Tin Oxide
8864,11.1,66.1,0.8738,960.0,Tin Oxide
8865,10.1,69.8,0.8619,972.0,Tin Oxide
8866,11.6,61.0,0.8299,911.0,Tin Oxide
8867,10.1,64.5,0.7968,923.0,Tin Oxide
8868,9.3,67.9,0.7969,981.0,Tin Oxide
8869,10.1,64.3,0.7934,1038.0,Tin Oxide
8870,10.4,62.7,0.7909,1370.0,Tin Oxide
8871,13.0,53.9,0.8036,1471.0,Tin Oxide
8872,16.4,44.6,0.8242,1447.0,Tin Oxide
8873,19.1,36.7,0.8044,1329.0,Tin Oxide
8874,21.0,30.6,0.7508,1197.0,Tin Oxide
8875,22.1,27.6,0.7254,1198.0,Tin Oxide
8876,22.2,25.5,0.6752,1171.0,Tin Oxide
8877,23.6,23.2,0.6665,1191.0,Tin Oxide
8878,23.6,22.9,0.6571,1213.0,Tin Oxide
8879,22.8,24.6,0.6736,1258.0,Tin Oxide
8880,20.3,29.7,0.6973,1413.0,Tin Oxide
8881,18.0,36.0,0.7345,1610.0,Tin Oxide
8882,16.4,41.9,0.7759,1710.0,Tin Oxide
8883,14.9,47.6,0.8003,1515.0,Tin Oxide
8884,13.8,49.6,0.7793,1199.0,Tin Oxide
8885,13.2,51.6,0.7765,1128.0,Tin Oxide
8886,11.8,56.9,0.7836,1108.0,Tin Oxide
8887,11.4,58.0,0.7818,1038.0,Tin Oxide
8888,11.3,58.0,0.7742,1004.0,Tin Oxide
8889,10.7,59.6,0.7673,969.0,Tin Oxide
8890,9.0,65.4,0.7532,938.0,Tin Oxide
8891,8.0,68.9,0.7402,927.0,Tin Oxide
8892,7.5,70.9,0.7358,977.0,Tin Oxide
8893,7.6,69.2,0.7238,1011.0,Tin Oxide
8894,8.7,64.3,0.7257,1228.0,Tin Oxide
8895,11.7,54.3,0.7459,1521.0,Tin Oxide
8896,15.9,42.2,0.7553,1425.0,Tin Oxide
8897,19.3,34.7,0.7681,1339.0,Tin Oxide
8898,23.1,27.3,0.7615,1310.0,Tin Oxide
8899,26.1,20.8,0.6959,1250.0,Tin Oxide
8900,26.8,17.9,0.6249,1181.0,Tin Oxide
8901,28.4,16.0,0.6095,1272.0,Tin Oxide
8902,28.8,15.1,0.5877,1231.0,Tin Oxide
8903,27.9,15.6,0.5782,1286.0,Tin Oxide
8904,24.1,20.6,0.6075,1315.0,Tin Oxide
8905,21.0,28.0,0.6904,1494.0,Tin Oxide
8906,18.4,38.8,0.8152,1494.0,Tin Oxide
8907,16.9,42.9,0.8222,1545.0,Tin Oxide
8908,15.5,45.0,0.7895,1354.0,Tin Oxide
8909,14.3,49.6,0.8049,1301.0,Tin Oxide
8910,14.7,48.0,0.7977,1144.0,Tin Oxide
8911,13.3,51.4,0.7821,1080.0,Tin Oxide
8912,12.6,53.7,0.7793,1013.0,Tin Oxide
8913,11.5,56.8,0.7706,966.0,Tin Oxide
8914,10.1,61.9,0.7631,959.0,Tin Oxide
8915,9.8,61.8,0.7523,919.0,Tin Oxide
8916,9.0,64.3,0.7417,953.0,Tin Oxide
8917,7.9,68.4,0.7324,1117.0,Tin Oxide
8918,9.5,62.6,0.7444,1485.0,Tin Oxide
8919,13.2,51.0,0.7704,1583.0,Tin Oxide
8920,16.9,40.3,0.7717,1448.0,Tin Oxide
8921,20.8,31.3,0.7617,1294.0,Tin Oxide
8922,24.3,24.7,0.7407,1269.0,Tin Oxide
8923,26.7,22.6,0.7785,1247.0,Tin Oxide
8924,27.1,21.7,0.7636,1239.0,Tin Oxide
8925,28.3,17.9,0.6769,1199.0,Tin Oxide
8926,27.8,20.0,0.7378,1216.0,Tin Oxide
8927,26.2,19.4,0.6491,1131.0,Tin Oxide
8928,22.7,24.4,0.6661,1300.0,Tin Oxide
8929,20.2,29.3,0.686,1358.0,Tin Oxide
8930,17.3,35.2,0.6907,1492.0,Tin Oxide
8931,16.1,38.7,0.7023,1413.0,Tin Oxide
8932,14.6,44.5,0.7337,1210.0,Tin Oxide
8933,13.7,48.6,0.7555,1196.0,Tin Oxide
8934,12.4,52.2,0.7513,1101.0,Tin Oxide
8935,11.9,53.4,0.7414,1076.0,Tin Oxide
8936,10.4,58.4,0.7367,1040.0,Tin Oxide
8937,8.9,63.5,0.7268,989.0,Tin Oxide
8938,8.2,65.9,0.7168,966.0,Tin Oxide
8939,7.7,67.1,0.7074,912.0,Tin Oxide
8940,7.2,68.6,0.6978,960.0,Tin Oxide
8941,7.5,66.7,0.6943,1028.0,Tin Oxide
8942,8.7,61.6,0.696,1375.0,Tin Oxide
8943,12.0,51.0,0.7131,1522.0,Tin Oxide
8944,15.4,42.5,0.7379,1400.0,Tin Oxide
8945,18.8,33.5,0.7186,1323.0,Tin Oxide
8946,22.2,28.1,0.7426,1250.0,Tin Oxide
8947,24.7,25.5,0.7785,1283.0,Tin Oxide
8948,25.0,23.4,0.7301,1171.0,Tin Oxide
8949,25.9,21.9,0.7209,1264.0,Tin Oxide
8950,25.6,21.7,0.7039,1301.0,Tin Oxide
8951,25.1,21.8,0.6854,1321.0,Tin Oxide
8952,22.1,25.6,0.6728,1343.0,Tin Oxide
8953,19.1,32.5,0.7112,1493.0,Tin Oxide
8954,16.7,42.5,0.8002,1545.0,Tin Oxide
8955,15.5,48.3,0.8439,1477.0,Tin Oxide
8956,13.3,60.5,0.9168,1202.0,Tin Oxide
8957,12.1,67.6,0.9539,1236.0,Tin Oxide
8958,11.8,68.3,0.9432,1206.0,Tin Oxide
8959,11.6,68.3,0.9314,1192.0,Tin Oxide
8960,11.8,67.9,0.9362,1044.0,Tin Oxide
8961,12.3,65.8,0.9374,1053.0,Tin Oxide
8962,12.2,66.9,0.9496,1023.0,Tin Oxide
8963,12.1,67.3,0.948,1005.0,Tin Oxide
8964,11.8,67.1,0.9274,959.0,Tin Oxide
8965,11.9,65.6,0.9129,1049.0,Tin Oxide
8966,12.2,65.6,0.93,1255.0,Tin Oxide
8967,12.8,64.4,0.9448,1285.0,Tin Oxide
8968,13.4,62.0,0.9498,1254.0,Tin Oxide
8969,14.5,57.0,0.9333,1253.0,Tin Oxide
8970,15.8,51.3,0.9144,1242.0,Tin Oxide
8971,17.5,46.0,0.9104,1212.0,Tin Oxide
8972,19.5,40.2,0.901,1165.0,Tin Oxide
8973,21.2,35.9,0.8943,1136.0,Tin Oxide
8974,21.7,35.1,0.8993,1233.0,Tin Oxide
8975,20.5,38.4,0.9161,1177.0,Tin Oxide
8976,18.2,45.9,0.9488,1223.0,Tin Oxide
8977,16.2,53.0,0.9722,1360.0,Tin Oxide
8978,15.0,57.6,0.9777,1435.0,Tin Oxide
8979,14.1,60.8,0.9716,1305.0,Tin Oxide
8980,13.2,65.6,0.9882,1199.0,Tin Oxide
8981,13.5,63.8,0.9797,1217.0,Tin Oxide
8982,13.6,63.4,0.9794,1200.0,Tin Oxide
